strategy,k,clean_acc,adv_acc,mean_confidence
Vanilla,1,99.24,15.66,0.7143791288256646
Vanilla,2,99.24,2.61,0.8632066232725978
Vanilla,4,99.24,0.28,0.9518621260121465
Vanilla,8,99.24,0.04,0.9783623394235968
Vanilla,16,99.24,0.0,0.9849701802238822
Constant,1,11.35,11.35,0.11346203833818436
Constant,2,11.35,11.35,0.11346203833818436
Constant,4,11.35,11.35,0.11346203833818436
Constant,8,11.35,11.35,0.11346203833818436
Constant,16,11.35,11.35,0.11346203833818436
Linear,1,98.81,96.17,0.9668721672713757
Linear,2,98.81,95.62,0.9644668451696634
Linear,4,98.81,95.31,0.9621383733600378
Linear,8,98.81,95.0,0.9611160434544086
Linear,16,98.81,94.87,0.9601496041923762
LinearUniformMix,1,98.69,95.8,0.9622902151674032
LinearUniformMix,2,98.69,95.18,0.9583888826698065
LinearUniformMix,4,98.69,94.56,0.9556897596806287
LinearUniformMix,8,98.69,94.18,0.9532082332134246
LinearUniformMix,16,98.69,93.99,0.9516034459933639
Exponential,1,98.78,96.25,0.9721001649260521
Exponential,2,98.78,95.84,0.9691380746126175
Exponential,4,98.78,95.44,0.9675601309031248
Exponential,8,98.78,95.07,0.9651903883099556
Exponential,16,98.78,94.98,0.9650578849121928
Cyclic,1,98.91,96.69,0.9724847216367721
Cyclic,2,98.91,96.11,0.9685635810345411
Cyclic,4,98.91,95.79,0.9667608153402806
Cyclic,8,98.91,95.5,0.9654734173476696
Cyclic,16,98.91,95.4,0.9649581087499857
Random,1,11.35,11.35,0.11295972764492035
Random,2,11.35,11.35,0.11295972764492035
Random,4,11.35,11.35,0.11295972764492035
Random,8,11.35,11.35,0.11295972764492035
Random,16,11.35,11.35,0.11295972764492035
