strategy,k,clean_acc,adv_acc,mean_confidence
Constant,1,11.35,11.35,0.1120572909712791
Constant,2,11.35,11.35,0.1120572909712791
Constant,4,11.35,11.35,0.1120572909712791
Constant,8,11.35,11.35,0.1120572909712791
Constant,16,11.35,11.35,0.1120572909712791
Linear,1,96.92,88.53,0.8729919010654091
Linear,2,96.92,86.93,0.8637773976922035
Linear,4,96.92,85.51,0.855429229156673
Linear,8,96.92,84.49,0.8511426387831569
Linear,16,96.92,83.79,0.8473137426808477
LinearUniformMix,1,96.87,91.0,0.8924059976100922
LinearUniformMix,2,96.87,89.27,0.878999336963892
LinearUniformMix,4,96.87,87.64,0.864346354226768
LinearUniformMix,8,96.87,86.67,0.8552325773209334
LinearUniformMix,16,96.87,85.88,0.8496520606517792
Exponential,1,96.95,89.2,0.8741431696742773
Exponential,2,96.95,87.72,0.8624600468158722
Exponential,4,96.95,85.9,0.8520904511004687
Exponential,8,96.95,84.94,0.8458748593151569
Exponential,16,96.95,84.3,0.8407847472563386
Cyclic,1,96.73,92.65,0.9184326684176922
Cyclic,2,96.73,91.18,0.9103873844206332
Cyclic,4,96.73,90.12,0.9009560343742372
Cyclic,8,96.73,89.1,0.8956034167692065
Cyclic,16,96.73,89.11,0.8915130791455508
Random,1,94.84,89.25,0.8463658509105444
Random,2,94.84,87.35,0.8376075550183654
Random,4,94.84,86.63,0.8307923021733761
Random,8,94.84,85.5,0.8263866747424007
Random,16,94.84,85.06,0.8246188324779272
Vanilla,1,98.54,3.32,0.8468029499053955
Vanilla,2,98.54,0.2,0.9395875930786133
Vanilla,4,98.54,0.01,0.9746165871620178
Vanilla,8,98.54,0.0,0.9837392568588257
Vanilla,16,98.54,0.0,0.9871183633804321
